episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-66.0,70,0,,1,False,0.9985222222222222,,collision,
2,-56.0,53,0,,1,False,0.9974033333333333,,collision,
3,-47.0,72,0,,1,False,0.9958833333333333,,collision,
4,-62.0,48,0,,1,False,0.99487,,collision,
5,-35.0,76,0,,1,False,0.9932655555555555,,collision,
6,-28.0,72,0,,1,False,0.9917455555555555,,collision,
7,-59.0,67,0,,1,False,0.9903311111111112,,collision,
8,-75.0,38,0,,1,False,0.9895288888888889,,collision,
9,-10.0,89,0,,1,False,0.98765,,collision,
10,-63.0,67,0,,1,False,0.9862355555555555,,collision,
11,-77.0,87,0,,1,False,0.9843988888888889,,collision,
12,-86.0,111,0,,1,False,0.9820555555555556,1.934433356523514,collision,
13,-62.0,109,0,,1,False,0.9797544444444445,2.1549836132261486,collision,
14,-81.0,79,0,,1,False,0.9780866666666667,2.6254548341035844,collision,
15,-80.0,37,0,,1,False,0.9773055555555555,1.6944186356332567,collision,
16,-54.0,65,0,,1,False,0.9759333333333333,1.999334051328547,collision,
17,-23.0,111,0,,1,False,0.97359,1.6888472945601851,collision,
18,-60.0,65,0,,1,False,0.9722177777777777,1.1894765864400303,collision,
19,-33.0,63,0,,1,False,0.9708877777777778,2.014276421070099,collision,
20,-67.0,49,0,,1,False,0.9698533333333333,2.100525681789105,collision,
21,-73.0,60,0,,1,False,0.9685866666666667,1.2452581857641538,collision,
22,-35.0,61,0,,1,False,0.9672988888888889,1.195946455001831,collision,
23,-66.0,71,0,,1,False,0.9658,2.343599103805092,collision,
24,-49.0,65,0,,1,False,0.9644277777777778,1.3422703985124826,collision,
25,-80.0,62,0,,1,False,0.9631188888888889,0.934453030427297,collision,
26,-56.0,56,0,,1,False,0.9619366666666667,1.7550036273896694,collision,
27,-16.0,69,0,,1,False,0.96048,2.2351411233345666,collision,
28,-78.0,69,0,,1,False,0.9590233333333333,1.853496542748283,collision,
29,-65.0,53,0,,1,False,0.9579044444444444,1.7701548429635854,collision,
30,-54.0,71,0,,1,False,0.9564055555555555,1.4877772550616,collision,
31,-57.0,73,0,,1,False,0.9548644444444444,1.5853801497982607,collision,
32,-64.0,67,0,,1,False,0.95345,1.3385540505542475,collision,
33,-60.0,80,0,,1,False,0.9517611111111111,1.8593120072036982,collision,
34,-28.0,77,0,,1,False,0.9501355555555555,1.3176557194245488,collision,
35,-64.0,54,0,,1,False,0.9489955555555556,0.9557083179908139,collision,
36,-72.0,43,0,,1,False,0.9480877777777778,1.8223029375076294,collision,
37,-11.0,93,0,,1,False,0.9461244444444444,1.6597435899699728,collision,
38,-80.0,53,0,,1,False,0.9450055555555555,1.3411127414840918,collision,
39,-69.0,43,0,,1,False,0.9440977777777778,1.104624835604971,collision,
40,-22.0,81,0,,1,False,0.9423877777777778,2.01752663590014,collision,
41,-78.0,75,0,,1,False,0.9408044444444444,1.521307478217702,collision,
42,-64.0,46,0,,1,False,0.9398333333333333,1.1949485929852182,collision,
43,-59.0,54,0,,1,False,0.9386933333333334,0.9376767171280724,collision,
44,-83.0,78,0,,1,False,0.9370466666666667,1.5495123408342664,collision,
45,-23.0,92,0,,1,False,0.9351044444444444,1.4815081027538881,collision,
46,-65.0,50,0,,1,False,0.9340488888888889,1.8642188631571257,collision,
47,-57.0,52,0,,1,False,0.9329511111111111,2.13319660952458,collision,
48,-71.0,44,0,,1,False,0.9320222222222222,2.1044601134278555,collision,
49,-76.0,51,0,,1,False,0.9309455555555556,1.8540335694948833,collision,
50,-46.0,68,0,,1,False,0.9295100000000001,1.2220546086044872,collision,
51,-66.0,44,0,,1,False,0.9285811111111111,1.4451644319024952,collision,
52,-67.0,47,0,,1,False,0.9275888888888889,1.7472689989954233,collision,
53,-73.0,43,0,,1,False,0.9266811111111111,1.2115354612469673,collision,
54,-6.0,80,0,,1,False,0.9249922222222222,2.241966539993882,collision,
55,-62.0,65,0,,1,False,0.92362,2.3924443456344306,collision,
56,-53.0,73,0,,1,False,0.9220788888888889,0.8867287023199929,collision,
57,-54.0,60,0,,1,False,0.9208122222222223,1.968195611735185,collision,
58,-59.0,52,0,,1,False,0.9197144444444445,1.21050729487951,collision,
59,-69.0,39,0,,1,False,0.9188911111111111,1.9036637499928475,collision,
60,-76.0,44,0,,1,False,0.9179622222222222,1.8267053805968978,collision,
61,-72.0,82,0,,1,False,0.9162311111111111,2.001975890426409,collision,
62,-72.0,47,0,,1,False,0.9152388888888889,0.977253292771903,collision,
63,-60.0,78,0,,1,False,0.9135922222222222,1.912124852463603,collision,
64,-65.0,41,0,,1,False,0.9127266666666667,1.0617611926048993,collision,
65,-20.0,79,0,,1,False,0.9110588888888889,2.3497029107064007,collision,
66,-59.0,83,0,,1,False,0.9093066666666667,1.747318176286561,collision,
67,-67.0,39,0,,1,False,0.9084833333333333,1.7607504096296098,collision,
68,-64.0,65,0,,1,False,0.9071111111111111,2.2584525795982167,collision,
69,-9.0,82,0,,1,False,0.90538,2.48351018615067,collision,
70,-56.0,61,0,,1,False,0.9040922222222222,1.793710815658172,collision,
71,-77.0,39,0,,1,False,0.9032688888888889,1.831608735769987,collision,
72,-49.0,78,0,,1,False,0.9016222222222222,1.8523412521928548,collision,
73,-65.0,67,0,,1,False,0.9002077777777778,1.6473749317228794,collision,
74,-56.0,83,0,,1,False,0.8984555555555556,1.7772975136481581,collision,
75,-35.0,59,0,,1,False,0.89721,1.3544511939088504,collision,
76,-67.0,69,0,,1,False,0.8957533333333333,1.583724734976011,collision,
77,-79.0,71,0,,1,False,0.8942544444444445,2.4797790029810534,collision,
78,-56.0,56,0,,1,False,0.8930722222222223,1.8684477401631219,collision,
79,-66.0,58,0,,1,False,0.8918477777777778,2.5778430828026364,collision,
80,-60.0,58,0,,1,False,0.8906233333333333,1.2205629075566928,collision,
81,-79.0,55,0,,1,False,0.8894622222222223,2.4399457009775296,collision,
82,-30.0,63,0,,1,False,0.8881322222222222,1.6274356534083685,collision,
83,-62.0,48,0,,1,False,0.8871188888888889,2.6741725895553827,collision,
84,-70.0,43,0,,1,False,0.8862111111111111,1.6296000629663467,collision,
85,-59.0,73,0,,1,False,0.8846700000000001,1.4830955184168286,collision,
86,-67.0,43,0,,1,False,0.8837622222222222,0.8946132179010998,collision,
87,-57.0,54,0,,1,False,0.8826222222222222,2.3662317608084,collision,
88,-15.0,115,0,,1,False,0.8801944444444445,1.6678363994828291,collision,
89,-56.0,69,0,,1,False,0.8787377777777778,1.4002816780573792,collision,
90,-25.0,69,0,,1,False,0.8772811111111111,1.445159545277848,collision,
91,-23.0,68,0,,1,False,0.8758455555555555,1.363959968309192,collision,
92,-74.0,59,0,,1,False,0.8746,2.562275631725788,collision,
93,-66.0,64,0,,1,False,0.873248888888889,2.1590418245177716,collision,
94,-21.0,70,0,,1,False,0.871771111111111,1.8850749007919256,collision,
95,-69.0,49,0,,1,False,0.8707366666666667,2.2065352791299424,collision,
96,-15.0,78,0,,1,False,0.86909,1.203577335551381,collision,
97,-57.0,56,0,,1,False,0.8679077777777777,1.5729732571968011,collision,
98,-11.0,77,0,,1,False,0.8662822222222222,1.3045237558452707,collision,
99,-81.0,43,0,,1,False,0.8653744444444444,2.430655463852666,collision,
100,-55.0,57,0,,1,False,0.8641711111111111,2.1929838875574723,collision,
101,-63.0,47,0,,1,False,0.8631788888888889,1.4692297366758187,collision,
102,-61.0,55,0,,1,False,0.8620177777777778,1.5858423238886254,collision,
103,-72.0,44,0,,1,False,0.8610888888888889,1.3740180412476712,collision,
104,-34.0,61,0,,1,False,0.8598011111111111,1.3338813871145248,collision,
105,-67.0,55,0,,1,False,0.8586400000000001,1.4077513324362891,collision,
106,-24.0,68,0,,1,False,0.8572044444444444,2.2367374401758697,collision,
107,-68.0,77,0,,1,False,0.8555788888888889,1.4316162451317436,collision,
108,-22.0,100,0,,1,False,0.8534677777777778,2.3175836752355097,collision,
109,-40.0,57,0,,1,False,0.8522644444444445,1.7661989363176482,collision,
110,-78.0,44,0,,1,False,0.8513355555555555,1.0810272666541012,collision,
111,-14.0,75,0,,1,False,0.8497522222222222,1.586517865720548,collision,
112,-55.0,61,0,,1,False,0.8484644444444445,2.0208099730312825,collision,
113,57.0,119,0,,1,False,0.8459522222222222,1.8690695238610109,collision,
114,-22.0,75,0,,1,False,0.844368888888889,2.2097301514525163,collision,
115,-57.0,63,0,,1,False,0.8430388888888889,1.7248631889621417,collision,
116,-66.0,41,0,,1,False,0.8421733333333333,2.475024200975895,collision,
117,-36.0,54,0,,1,False,0.8410333333333333,0.8421388747027287,collision,
118,-32.0,57,0,,1,False,0.8398300000000001,2.379095685003059,collision,
119,-27.0,83,0,,1,False,0.8380777777777778,2.012811647107204,collision,
120,-57.0,57,0,,1,False,0.8368744444444445,1.9286939898239714,collision,
121,-34.0,53,0,,1,False,0.8357555555555556,1.6567344854452781,collision,
122,-62.0,53,0,,1,False,0.8346366666666667,1.866271025286271,collision,
123,-52.0,98,0,,1,False,0.8325677777777778,1.6051155632982652,collision,
124,-27.0,80,0,,1,False,0.830878888888889,1.9518754966557026,collision,
125,-11.0,96,0,,1,False,0.8288522222222222,1.9097101939842105,collision,
126,-77.0,70,0,,1,False,0.8273744444444444,1.3753719449871116,collision,
127,73.0,127,0,,1,False,0.8246933333333333,2.102849313756451,collision,
128,-73.0,37,0,,1,False,0.8239122222222223,1.0313616436388757,collision,
129,-68.0,39,0,,1,False,0.8230888888888889,2.221931917220354,collision,
130,-16.0,111,0,,1,False,0.8207455555555556,2.0357298598521285,collision,
131,-53.0,74,0,,1,False,0.8191833333333334,1.8027773201465607,collision,
132,-21.0,67,0,,1,False,0.8177688888888889,1.7566033976481241,collision,
133,-69.0,50,0,,1,False,0.8167133333333333,1.2496960768476129,collision,
134,-53.0,53,0,,1,False,0.8155944444444445,2.560330419586255,collision,
135,-67.0,43,0,,1,False,0.8146866666666667,1.9444338015534661,collision,
136,-23.0,77,0,,1,False,0.8130611111111111,1.489665496506189,collision,
137,-32.0,56,0,,1,False,0.8118788888888889,1.3538122033434254,collision,
138,-41.0,51,0,,1,False,0.8108022222222222,1.8961620468359728,collision,
139,-6.0,95,0,,1,False,0.8087966666666666,1.8054431684625645,collision,
140,-31.0,57,0,,1,False,0.8075933333333334,1.8304351312773568,collision,
141,-24.0,65,0,,1,False,0.806221111111111,1.2129225637763739,collision,
142,-35.0,50,0,,1,False,0.8051655555555556,1.7862641576391,collision,
143,73.0,140,0,,1,False,0.80221,2.0241261680211338,collision,
144,209.0,212,0,,1,False,0.7977344444444445,1.4876208202737682,collision,
145,16.0,93,0,,1,False,0.7957711111111111,1.3411483379161877,collision,
146,-56.0,57,0,,1,False,0.7945677777777778,1.7819401887910706,collision,
147,-66.0,55,0,,1,False,0.7934066666666667,1.594636197601046,collision,
148,79.0,129,0,,1,False,0.7906833333333334,1.4113014404429123,collision,
149,-19.0,72,0,,1,False,0.7891633333333333,1.960754779063993,collision,
150,-63.0,49,0,,1,False,0.7881288888888889,2.0950822583757915,collision,
151,24.0,107,0,,1,False,0.7858700000000001,1.6753607839345932,collision,
152,-31.0,72,0,,1,False,0.78435,1.9327764840175707,collision,
153,-21.0,69,0,,1,False,0.7828933333333333,2.350361088911692,collision,
154,-37.0,58,0,,1,False,0.7816688888888889,1.5576179650213038,collision,
155,25.0,93,0,,1,False,0.7797055555555555,1.9509590679536695,collision,
156,-29.0,85,0,,1,False,0.7779111111111111,2.2800119796937164,collision,
157,-35.0,68,0,,1,False,0.7764755555555556,2.4779366235084392,collision,
158,-26.0,68,0,,1,False,0.77504,1.8625534871483551,collision,
159,-61.0,47,0,,1,False,0.7740477777777778,2.62462119622664,collision,
160,-1.0,92,0,,1,False,0.7721055555555556,1.3435609039405119,collision,
161,-15.0,81,0,,1,False,0.7703955555555555,1.7998415409099489,collision,
162,-24.0,81,0,,1,False,0.7686855555555556,1.9226674046367407,collision,
163,-38.0,50,0,,1,False,0.76763,1.619145625581344,collision,
164,98.0,148,0,,1,False,0.7645055555555555,1.8389883812617611,collision,
165,-37.0,59,0,,1,False,0.76326,2.4501362989346185,collision,
166,-44.0,56,0,,1,False,0.7620777777777777,1.7001409748835223,collision,
167,106.0,166,0,,1,False,0.7585733333333333,1.8862131220244227,collision,
168,-25.0,65,0,,1,False,0.7572011111111111,2.117872651666403,collision,
169,93.0,165,0,,1,False,0.7537177777777778,2.176291501376687,collision,
170,-55.0,56,0,,1,False,0.7525355555555555,1.1912567445210047,collision,
171,-15.0,79,0,,1,False,0.7508677777777778,1.4108147274702787,collision,
172,202.0,220,0,,1,False,0.7462233333333333,1.6410989739000796,collision,
173,-4.0,92,0,,1,False,0.7442811111111112,2.2035832249599956,collision,
174,-33.0,63,0,,1,False,0.7429511111111111,1.8343494171276689,collision,
175,-19.0,69,0,,1,False,0.7414944444444445,1.4903765934355118,collision,
176,-30.0,55,0,,1,False,0.7403333333333333,2.292817423386233,collision,
177,193.0,218,0,,1,False,0.7357311111111111,1.717758624917931,collision,
178,78.0,123,0,,1,False,0.7331344444444445,2.514034313780646,collision,
179,8.0,107,0,,1,False,0.7308755555555556,1.760510392487049,collision,
180,-58.0,59,0,,1,False,0.72963,1.6606751738914423,collision,
181,-14.0,81,0,,1,False,0.72792,1.224239403648036,collision,
182,-41.0,64,0,,1,False,0.7265688888888889,1.4210882598999888,collision,
183,-19.0,74,0,,1,False,0.7250066666666667,2.079607737561067,collision,
184,-28.0,72,0,,1,False,0.7234866666666667,2.0797427081399493,collision,
185,-31.0,65,0,,1,False,0.7221144444444445,1.8352189040742815,collision,
186,-36.0,65,0,,1,False,0.7207422222222222,1.887465304311584,collision,
187,-29.0,61,0,,1,False,0.7194544444444444,2.250437226891518,collision,
188,-22.0,70,0,,1,False,0.7179766666666667,1.7571148644475376,collision,
189,-65.0,44,0,,1,False,0.7170477777777777,2.0300566906278785,collision,
190,-32.0,53,0,,1,False,0.7159288888888888,0.9794173070362636,collision,
191,71.0,119,0,,1,False,0.7134166666666666,1.8202461924018531,collision,
192,-13.0,75,0,,1,False,0.7118333333333333,1.5867218626172919,collision,
193,-20.0,94,0,,1,False,0.709848888888889,2.059131497206787,collision,
194,170.0,185,0,,1,False,0.7059433333333334,1.720225394581971,collision,
195,-37.0,67,0,,1,False,0.704528888888889,2.1397639942519806,collision,
196,57.0,124,0,,1,False,0.7019111111111112,1.5708641269274297,collision,
197,-34.0,63,0,,1,False,0.7005811111111111,2.743057183921337,collision,
198,-32.0,56,0,,1,False,0.6993988888888889,1.8970250604408128,collision,
199,-1.0,85,0,,1,False,0.6976044444444445,2.1896640925922175,collision,
200,-35.0,63,0,,1,False,0.6962744444444444,2.092976402242978,collision,
201,25.0,101,0,,1,False,0.6941422222222222,1.78909680677148,collision,
202,-15.0,80,0,,1,False,0.6924533333333334,1.9330376818776132,collision,
203,9.0,79,0,,1,False,0.6907855555555555,2.530815448219839,collision,
204,-22.0,68,0,,1,False,0.68935,1.7568081310566734,collision,
205,178.0,192,0,,1,False,0.6852966666666667,1.5833537129995723,collision,
206,27.0,105,0,,1,False,0.68308,1.7901655550080318,collision,
207,60.0,137,0,,1,False,0.6801877777777778,2.2289074637434063,collision,
208,20.0,102,0,,1,False,0.6780344444444444,1.8983788394927978,collision,
209,166.0,174,0,,1,False,0.6743611111111112,1.9142094207080929,collision,
210,216.0,202,0,,1,False,0.6700966666666667,1.676095754429698,collision,
211,51.0,122,0,,1,False,0.6675211111111111,2.04835810824748,collision,
212,6.0,71,0,,1,False,0.6660222222222223,2.1107690135637918,collision,
213,70.0,135,0,,1,False,0.6631722222222223,2.006701899523085,collision,
214,24.0,96,0,,1,False,0.6611455555555557,1.8236796545485656,collision,
215,-21.0,69,0,,1,False,0.6596888888888889,1.5120574985113409,collision,
216,-20.0,83,0,,1,False,0.6579366666666667,2.187235691770911,collision,
217,-20.0,65,0,,1,False,0.6565644444444445,2.4626971868907703,collision,
218,-35.0,58,0,,1,False,0.65534,2.189120538532734,collision,
219,-18.0,71,0,,1,False,0.6538411111111111,1.571008987724781,collision,
220,-16.0,83,0,,1,False,0.6520888888888889,1.4971818430792718,collision,
221,-22.0,77,0,,1,False,0.6504633333333334,1.6165052726864815,collision,
222,42.0,125,0,,1,False,0.6478244444444445,1.3600068025050625,collision,
223,-27.0,58,0,,1,False,0.6466000000000001,1.1497228175401688,collision,
224,-32.0,55,0,,1,False,0.6454388888888889,1.2415799796581268,collision,
225,-17.0,72,0,,1,False,0.6439188888888889,1.8255863934755325,collision,
226,-30.0,55,0,,1,False,0.6427577777777778,2.3215155537639345,collision,
227,-29.0,80,0,,1,False,0.6410688888888889,1.0876374013721943,collision,
228,57.0,119,0,,1,False,0.6385566666666667,1.767715551952521,collision,
229,10.0,88,0,,1,False,0.6366988888888889,1.8746465542777018,collision,
230,-36.0,55,0,,1,False,0.6355377777777778,2.325638519866126,collision,
