episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-81.0,58,0,,1,False,0.9987755555555555,,collision,
2,-75.0,50,0,,1,False,0.99772,,collision,
3,-72.0,36,0,,1,False,0.99696,,collision,
4,-81.0,68,0,,1,False,0.9955244444444444,,collision,
5,-72.0,61,0,,1,False,0.9942366666666667,,collision,
6,-63.0,51,0,,1,False,0.99316,,collision,
7,-70.0,60,0,,1,False,0.9918933333333333,,collision,
8,-67.0,54,0,,1,False,0.9907533333333334,,collision,
9,-92.0,45,0,,1,False,0.9898033333333334,,collision,
10,-69.0,36,0,,1,False,0.9890433333333334,,collision,
11,-65.0,64,0,,1,False,0.9876922222222222,,collision,
12,-78.0,36,0,,1,False,0.9869322222222222,,collision,
13,-82.0,65,0,,1,False,0.98556,,collision,
14,-85.0,55,0,,1,False,0.9843988888888889,,collision,
15,-102.0,99,0,,1,False,0.9823088888888889,2.467140742323615,collision,
16,-69.0,47,0,,1,False,0.9813166666666666,2.1660149594148,collision,
17,-82.0,67,0,,1,False,0.9799022222222222,2.656105602488798,collision,
18,-105.0,72,0,,1,False,0.9783822222222223,3.131477846039666,collision,
19,-94.0,44,0,,1,False,0.9774533333333333,3.135421387173913,collision,
20,-75.0,36,0,,1,False,0.9766933333333333,1.0811574194166396,collision,
21,-71.0,50,0,,1,False,0.9756377777777778,1.666962797443072,collision,
22,-85.0,58,0,,1,False,0.9744133333333334,3.098625429471334,collision,
23,-66.0,52,0,,1,False,0.9733155555555556,2.1463266977897058,collision,
24,-68.0,42,0,,1,False,0.9724288888888889,1.0238411918282508,collision,
25,-76.0,57,0,,1,False,0.9712255555555556,2.9403789469173978,collision,
26,-74.0,36,0,,1,False,0.9704655555555556,1.5239173869291942,collision,
27,-70.0,52,0,,1,False,0.9693677777777778,1.361126021696971,collision,
28,-76.0,36,0,,1,False,0.9686077777777777,3.19114433394538,collision,
29,-71.0,48,0,,1,False,0.9675944444444444,1.4102080973486106,collision,
30,-69.0,50,0,,1,False,0.9665388888888888,3.00294921031365,collision,
31,-87.0,53,0,,1,False,0.96542,2.5230218653495493,collision,
32,-69.0,48,0,,1,False,0.9644066666666666,1.641358604033788,collision,
33,-89.0,53,0,,1,False,0.9632877777777777,2.1023710668087006,collision,
34,-76.0,46,0,,1,False,0.9623166666666667,1.1993450913578272,collision,
35,-73.0,42,0,,1,False,0.96143,1.7040639460086822,collision,
36,-71.0,73,0,,1,False,0.9598888888888889,1.8661951657972837,collision,
37,-79.0,41,0,,1,False,0.9590233333333333,1.73926699757576,collision,
38,-78.0,43,0,,1,False,0.9581155555555556,1.7218340323729948,collision,
39,-69.0,53,0,,1,False,0.9569966666666667,1.6043011465897927,collision,
40,-75.0,40,0,,1,False,0.9561522222222222,2.1878803342580797,collision,
41,-79.0,61,0,,1,False,0.9548644444444444,1.9220361183087031,collision,
42,-74.0,59,0,,1,False,0.9536188888888889,2.207927213112513,collision,
43,-66.0,58,0,,1,False,0.9523944444444444,2.2552048915198872,collision,
44,-71.0,51,0,,1,False,0.9513177777777778,1.9239445632466903,collision,
45,-57.0,62,0,,1,False,0.9500088888888889,1.6793570397421718,collision,
46,-77.0,48,0,,1,False,0.9489955555555556,2.285133689021071,collision,
47,-81.0,34,0,,1,False,0.9482777777777778,1.1939360238611698,collision,
48,-60.0,67,0,,1,False,0.9468633333333334,1.9121877914842438,collision,
49,-70.0,49,0,,1,False,0.9458288888888889,2.4804777863125005,collision,
50,-79.0,32,0,,1,False,0.9451533333333333,1.9033844042569399,collision,
51,-78.0,48,0,,1,False,0.94414,2.077956292157372,collision,
52,-66.0,61,0,,1,False,0.9428522222222222,1.5844708621501922,collision,
53,-75.0,68,0,,1,False,0.9414166666666667,1.222993122304187,collision,
54,-78.0,38,0,,1,False,0.9406144444444444,3.2461986489593984,collision,
55,-72.0,39,0,,1,False,0.9397911111111111,2.4560030944645406,collision,
56,-69.0,50,0,,1,False,0.9387355555555555,3.3651215142259994,collision,
57,-92.0,72,0,,1,False,0.9372155555555556,1.150821004062891,collision,
58,-59.0,65,0,,1,False,0.9358433333333334,2.04911518516019,collision,
59,-64.0,67,0,,1,False,0.9344288888888889,1.728239557322334,collision,
60,-71.0,37,0,,1,False,0.9336477777777777,2.051495233343707,collision,
61,-76.0,46,0,,1,False,0.9326766666666667,1.2817194430778425,collision,
62,-72.0,35,0,,1,False,0.9319377777777778,3.093513607978821,collision,
63,-79.0,41,0,,1,False,0.9310722222222222,2.15433656424284,collision,
64,-73.0,68,0,,1,False,0.9296366666666667,2.611697419163059,collision,
65,-73.0,35,0,,1,False,0.9288977777777778,1.329578189386262,collision,
66,-69.0,42,0,,1,False,0.9280111111111111,1.6807192035019398,collision,
67,-74.0,37,0,,1,False,0.92723,2.720282440384229,collision,
68,-74.0,43,0,,1,False,0.9263222222222223,1.827674729580229,collision,
69,-73.0,63,0,,1,False,0.9249922222222222,2.0767512884922326,collision,
70,-71.0,57,0,,1,False,0.9237888888888889,2.731320914945432,collision,
71,-79.0,61,0,,1,False,0.9225011111111111,3.03475391070048,collision,
72,-62.0,49,0,,1,False,0.9214666666666667,1.706615289243368,collision,
73,-70.0,48,0,,1,False,0.9204533333333333,1.566370081777374,collision,
74,-85.0,36,0,,1,False,0.9196933333333334,1.5125959838430088,collision,
75,-74.0,31,0,,1,False,0.9190388888888888,3.2786095163651874,collision,
76,-85.0,47,0,,1,False,0.9180466666666667,1.0231720538189013,collision,
77,-86.0,75,0,,1,False,0.9164633333333333,2.02304006446349,collision,
78,-70.0,37,0,,1,False,0.9156822222222222,1.8573767203423712,collision,
79,-73.0,36,0,,1,False,0.9149222222222222,2.0349570504493184,collision,
80,-73.0,54,0,,1,False,0.9137822222222223,1.6898942685553007,collision,
81,-79.0,34,0,,1,False,0.9130644444444445,1.8725933115929365,collision,
82,-69.0,55,0,,1,False,0.9119033333333333,2.4747956320643425,collision,
83,-85.0,64,0,,1,False,0.9105522222222222,2.058247405104339,collision,
84,-64.0,66,0,,1,False,0.9091588888888888,2.1393043105490506,collision,
85,-75.0,37,0,,1,False,0.9083777777777777,1.7026329927146435,collision,
